"Transaction Date","Payment Ref","Payer Name","Open ID","Product Name","Insurance Company","Policy Number","Coverage Period",Currency,"Charge Amount","Promotion Type",Status
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375419,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375508,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375573,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a4d5f965-0df7-43f7-9ae1-23afcacf40cf,ProductName,"Insurance Company",GC000002375588,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a4d5f965-0df7-43f7-9ae1-23afcacf40cf,ProductName,"Insurance Company",GC000002375593,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001493732,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001493747,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001493801,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494002,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494131,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494146,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494260,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494275,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494344,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494359,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494453,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494468,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC526919444241,"07/06/2022 to 07/10/2022",SGD,0.50,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC525639495770,"07/06/2022 to 07/10/2022",SGD,0.50,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002374832,"07/06/2022 to 01/06/2023",SGD,0.30,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375053,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375162,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375251,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375340,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375424,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375513,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a4d5f965-0df7-43f7-9ae1-23afcacf40cf,ProductName,"Insurance Company",GC000002375602,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001493752,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001493816,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494017,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494151,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494280,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494364,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494473,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC523083312861,"07/06/2022 to 07/10/2022",SGD,0.50,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002374798,"07/06/2022 to 01/06/2023",SGD,0.30,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002374847,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375068,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375182,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375355,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375439,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",9a680f71-73be-4aa5-bc06-94eaae67c244,ProductName,"Insurance Company",GC000002375617,"07/06/2022 to 01/06/2023",SGD,0.30,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001493767,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001493950,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494022,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494166,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494295,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494379,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a4d5f965-0df7-43f7-9ae1-23afcacf40cf,ProductName,"Insurance Company",GC000001494488,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a4d5f965-0df7-43f7-9ae1-23afcacf40cf,ProductName,"Insurance Company",GC000001494493,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC521738693513,"07/06/2022 to 07/10/2022",SGD,0.50,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002374852,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375088,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375266,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375360,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375444,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375528,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494062,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494171,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494408,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a4d5f965-0df7-43f7-9ae1-23afcacf40cf,ProductName,"Insurance Company",GC000001494502,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002374867,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375093,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375197,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375271,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375375,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375459,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375533,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001493698,"07/06/2022 to 01/06/2023",SGD,0.30,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001493772,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001493965,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494082,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494186,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494304,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494413,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",9a680f71-73be-4aa5-bc06-94eaae67c244,ProductName,"Insurance Company",GC000001494517,"07/06/2022 to 01/06/2023",SGD,0.30,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002374872,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375102,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375211,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375380,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375464,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375548,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001493707,"07/06/2022 to 01/06/2023",SGD,0.30,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001493985,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494097,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494191,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494235,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494319,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494428,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",DL054518,ProductName,"Insurance Company",GC77783224357,"07/06/2022 to 02/06/2023",SGD,0.30,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",DL054518,ProductName,"Insurance Company",GC12376061066,"07/06/2022 to 02/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",DL054518,ProductName,"Insurance Company",GC81220630244,"07/06/2022 to 02/06/2023",SGD,0.50,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002374887,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375117,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375226,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375286,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000002375553,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001493712,"07/06/2022 to 01/06/2023",SGD,0.30,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001493787,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001493990,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494111,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494200,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494240,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494324,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",a098ef45-14ca-43d9-9ee6-a49eb692858f,ProductName,"Insurance Company",GC000001494433,"07/06/2022 to 01/06/2023",SGD,0.10,none,PAID
"2022-06-07 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC526534496605,"07/06/2022 to 07/10/2022",SGD,0.50,none,PAID
